0,1,2,3,4,5
31035.0,2019-11-01,"(1083.5, 1423.0]",1,1,0
31036.0,2019-11-01,"(656.5, 861.0]",1,2,-1
31036.0,2019-11-01,"(1065.5, 1270.0]",2,2,0
31037.0,2019-11-01,"(419.212, 617.0]",12,18,-6
31037.0,2019-11-01,"(814.0, 1011.0]",5,4,1
31037.0,2019-11-01,"(1011.0, 1208.0]",4,9,-5
31038.0,2019-11-01,"(429.24, 620.0]",2,4,-2
31038.0,2019-11-01,"(620.0, 810.0]",1,2,-1
31038.0,2019-11-01,"(1000.0, 1190.0]",3,3,0
31039.0,2019-11-01,"(468.291, 646.25]",4,10,-6
31039.0,2019-11-01,"(646.25, 823.5]",1,3,-2
31039.0,2019-11-01,"(1000.75, 1178.0]",7,1,6
31040.0,2019-11-01,"(407.156, 619.0]",3,3,0
31040.0,2019-11-01,"(619.0, 830.0]",2,4,-2
31041.0,2019-11-01,"(519.296, 696.0]",1,1,0
31041.0,2019-11-01,"(696.0, 872.0]",1,1,0
31041.0,2019-11-01,"(872.0, 1048.0]",3,5,-2
31041.0,2019-11-01,"(1048.0, 1224.0]",3,9,-6
31042.0,2019-11-01,"(456.433, 598.75]",12,14,-2
31042.0,2019-11-01,"(598.75, 740.5]",4,4,0
31042.0,2019-11-01,"(740.5, 882.25]",1,3,-2
31042.0,2019-11-01,"(882.25, 1024.0]",2,6,-4
31043.0,2019-11-01,"(661.432, 804.0]",2,3,-1
31043.0,2019-11-01,"(946.0, 1088.0]",2,2,0
31043.0,2019-11-01,"(1088.0, 1230.0]",2,5,-3
31044.0,2019-11-01,"(493.343, 658.25]",2,3,-1
31044.0,2019-11-01,"(658.25, 822.5]",3,4,-1
31044.0,2019-11-01,"(986.75, 1151.0]",2,1,1
31045.0,2019-11-01,"(482.365, 641.75]",1,4,-3
31045.0,2019-11-01,"(800.5, 959.25]",1,2,-1
31045.0,2019-11-01,"(959.25, 1118.0]",2,2,0
31046.0,2019-11-01,"(905.0, 1091.0]",3,1,2
31046.0,2019-11-01,"(1091.0, 1277.0]",1,5,-4
31047.0,2019-11-01,"(359.965, 619.75]",11,20,-9
31047.0,2019-11-01,"(619.75, 878.5]",2,5,-3
31047.0,2019-11-01,"(878.5, 1137.25]",11,20,-9
31047.0,2019-11-01,"(1137.25, 1396.0]",3,12,-9
31048.0,2019-11-01,"(585.23, 778.5]",5,6,-1
31048.0,2019-11-01,"(778.5, 971.0]",1,2,-1
31048.0,2019-11-01,"(971.0, 1163.5]",3,6,-3
31049.0,2019-11-01,"(749.25, 893.5]",1,1,0
31049.0,2019-11-01,"(1037.75, 1182.0]",1,1,0
31050.0,2019-11-01,"(346.001, 596.75]",1,4,-3
31050.0,2019-11-01,"(1096.25, 1346.0]",1,1,0
31051.0,2019-11-01,"(306.184, 511.0]",1,5,-4
31051.0,2019-11-01,"(715.0, 919.0]",2,3,-1
31051.0,2019-11-01,"(919.0, 1123.0]",5,2,3
